Date,Open,High,Low,Close,Year,Full_Date,Price_Range,Returns
Jul-05,13.0,14.0,11.25,12.46,2005,2005-07-05,2.75,
Aug-05,12.58,14.88,12.55,13.42,2005,2005-08-05,2.33,7.704654895666119
Sep-05,13.48,14.87,12.27,13.3,2005,2005-09-05,2.5999999999999996,-0.894187779433675
Oct-05,13.2,14.47,12.4,12.99,2005,2005-10-05,2.0700000000000003,-2.3308270676691722
Nov-05,13.35,13.88,12.88,13.41,2005,2005-11-05,1.0,3.23325635103926
Dec-05,13.49,14.44,13.0,13.71,2005,2005-12-05,1.4399999999999995,2.2371364653243964
Jan-06,13.68,17.16,13.58,15.33,2005,2005-01-06,3.58,11.816192560175054
Feb-06,15.5,16.97,15.4,16.12,2005,2005-02-06,1.5699999999999985,5.153294194390101
Mar-06,16.2,20.95,16.02,20.08,2005,2005-03-06,4.93,24.565756823821317
Apr-06,20.56,20.8,18.02,19.49,2005,2005-04-06,2.780000000000001,-2.9382470119521886
May-06,19.8,21.8,15.8,18.03,2005,2005-05-06,6.0,-7.491021036428924
Jun-06,18.2,18.4,13.4,15.62,2005,2005-06-06,4.999999999999998,-13.366611203549649
Jul-06,16.0,17.2,13.82,16.16,2005,2005-07-06,3.379999999999999,3.457106274007682
Aug-06,15.9,18.6,15.7,17.84,2005,2005-08-06,2.900000000000002,10.396039603960405
Sep-06,18.0,18.88,16.8,18.46,2005,2005-09-06,2.0799999999999983,3.4753363228699596
Oct-06,18.78,24.2,18.5,22.78,2005,2005-10-06,5.699999999999999,23.40195016251354
Nov-06,22.8,28.47,21.4,25.32,2005,2005-11-06,7.07,11.150131694468834
Dec-06,25.4,29.66,24.4,26.97,2005,2005-12-06,5.260000000000002,6.516587677725116
Jan-07,27.4,34.16,27.0,30.16,2005,2005-01-07,7.159999999999997,11.827956989247323
Feb-07,30.2,32.6,26.8,28.63,2005,2005-02-07,5.800000000000001,-5.072944297082227
Mar-07,29.3,31.58,23.31,28.14,2005,2005-03-07,8.27,-1.7114914425427785
Apr-07,27.0,31.99,26.2,30.31,2005,2005-04-07,5.789999999999999,7.7114427860696555
May-07,30.66,36.14,29.11,33.51,2005,2005-05-07,7.030000000000001,10.557571758495543
Jun-07,33.89,36.38,30.4,35.98,2005,2005-06-07,5.980000000000004,7.370934049537459
Jul-07,35.98,41.04,35.02,37.93,2005,2005-07-07,6.019999999999996,5.4196775986659285
Aug-07,37.5,39.0,30.2,36.99,2005,2005-08-07,8.8,-2.4782494068020022
Sep-07,37.4,41.75,35.3,41.36,2005,2005-09-07,6.450000000000003,11.814003784806705
Oct-07,41.8,47.3,33.6,43.48,2005,2005-10-07,13.699999999999996,5.125725338491294
Nov-07,44.4,50.98,40.02,46.18,2005,2005-11-07,10.959999999999994,6.209751609935599
Dec-07,46.4,54.0,45.0,49.81,2005,2005-12-07,9.0,7.860545690775234
Jan-08,49.99,55.56,30.24,50.54,2005,2005-01-08,25.320000000000004,1.4655691628187029
Feb-08,50.88,53.97,44.4,49.42,2005,2005-02-08,9.57,-2.2160664819944498
Mar-08,48.9,48.9,24.11,33.75,2005,2005-03-08,24.79,-31.707810602994748
Apr-08,33.9,35.8,28.51,34.06,2005,2005-04-08,7.289999999999996,0.9185185185185185
May-08,34.3,36.88,30.03,31.13,2005,2005-05-08,6.850000000000001,-8.60246623605403
Jun-08,31.22,32.22,22.62,22.85,2005,2005-06-08,9.599999999999998,-26.598136845486664
Jul-08,22.85,30.5,20.4,25.45,2005,2005-07-08,10.100000000000001,11.378555798687074
Aug-08,25.0,28.98,24.62,26.83,2005,2005-08-08,4.359999999999999,5.422396856581524
